,Parameters,Area,Number of provinces,Variable
0,"(0, 0, 0)","Aceh (Indonesia), Bali (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Gorontalo (Indonesia), Jawa Barat (Indonesia), Kalimantan Tengah (Indonesia), Maluku Utara (Indonesia), Papua (Indonesia), Papua Barat (Indonesia), Yogyakarta (Indonesia), Kedah (Malaysia), Kelantan (Malaysia), Perlis (Malaysia), Chon Buri (Thailand), Nakhon Ratchasima (Thailand), Nonthaburi (Thailand), Pathum Thani (Thailand), Phatthalung (Thailand), Phrae (Thailand), Ranong (Thailand), Tak (Thailand), Trat (Thailand)",23,LC_urban_areas
1,"(0, 0, 1)","Kalimantan Selatan (Indonesia), Kepulauan Riau (Indonesia), Sulawesi Barat (Indonesia), Sumatera Selatan (Indonesia), Johor (Malaysia), Pahang (Malaysia), Penang (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), Cagayan Valley (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Chachoengsao (Thailand), Chanthaburi (Thailand), Chumphon (Thailand), Lop Buri (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Pattani (Thailand), Phichit (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Rayong (Thailand), Sa Kaeo (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Saraburi (Thailand), Satun (Thailand), Sing Buri (Thailand), Songkhla (Thailand), Uttaradit (Thailand), Yala (Thailand)",39,LC_urban_areas
2,"(1, 0, 0)","Bangka Belitung (Indonesia), Jakarta Raya (Indonesia), Jambi (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Timur (Indonesia), Maluku (Indonesia), Nusa Tenggara Timur (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sumatera Barat (Indonesia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Perak (Malaysia), Sarawak (Malaysia), ARMM (Philippines), Calabarzon (Philippines), Caraga (Philippines), Central Visayas (Philippines), Cordilera Administrative Region (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), Mimaropa (Philippines), National Capital Region (Philippines), Zamboanga Peninsula (Philippines), Singapore (Singapore), Chai Nat (Thailand), Kalasin (Thailand), Khon Kaen (Thailand), Krabi (Thailand), Lampang (Thailand), Lamphun (Thailand), Loei (Thailand), Mukdahan (Thailand), Nakhon Sawan (Thailand), Nan (Thailand), Narathiwat (Thailand), Nong Khai (Thailand), Phangnga (Thailand), Phetchaburi (Thailand), Phitsanulok (Thailand), Ratchaburi (Thailand), Roi Et (Thailand), Sakon Nakhon (Thailand), Samut Songkhram (Thailand), Suphan Buri (Thailand), Surat Thani (Thailand), Trang (Thailand), Udon Thani (Thailand), Uthai Thani (Thailand), Yasothon (Thailand)",51,LC_urban_areas
3,"(1, 0, 1)","Kalimantan Barat (Indonesia), Lampung (Indonesia), Nusa Tenggara Barat (Indonesia), Riau (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Utara (Indonesia), Sumatera Utara (Indonesia), Kuala Lumpur (Malaysia), Bicol Region (Philippines), Central Luzon (Philippines), IIocos Region (Philippines), Soccsksargen (Philippines), Amnat Charoen (Thailand), Buri Ram (Thailand), Chaiyaphum (Thailand), Chiang Mai (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Maha Sarakham (Thailand), Nakhon Si Thammarat (Thailand), Nong Bua Lam Phu (Thailand), Phuket (Thailand), Si Sa Ket (Thailand), Sukhothai (Thailand), Surin (Thailand), Ubon Ratchathani (Thailand)",26,LC_urban_areas
4,"(2, 0, 0)","Chiang Rai (Thailand), Mae Hong Son (Thailand), Phayao (Thailand), Phetchabun (Thailand)",4,LC_urban_areas
0,"(0, 0, 0)","Sumatera Barat (Indonesia), Bicol Region (Philippines), Caraga (Philippines), IIocos Region (Philippines), Zamboanga Peninsula (Philippines), Bueng Kan (Thailand), Chiang Rai (Thailand), Chumphon (Thailand), Khon Kaen (Thailand), Lamphun (Thailand), Mae Hong Son (Thailand), Nakhon Ratchasima (Thailand), Nakhon Si Thammarat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Pattani (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Prachuap Khiri Khan (Thailand), Ratchaburi (Thailand), Samut Songkhram (Thailand), Suphan Buri (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Uttaradit (Thailand)",26,Pop density heads per Sqkm
1,"(0, 0, 1)","Bengkulu (Indonesia), Jawa Tengah (Indonesia), Nusa Tenggara Barat (Indonesia), Sulawesi Utara (Indonesia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Penang (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Terengganu (Malaysia), Central Visayas (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), Mimaropa (Philippines), National Capital Region (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Ang Thong (Thailand), Chanthaburi (Thailand), Krabi (Thailand), Lampang (Thailand), Loei (Thailand), Lop Buri (Thailand), Nan (Thailand), Phangnga (Thailand), Phatthalung (Thailand), Sa Kaeo (Thailand), Satun (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Surat Thani (Thailand), Tak (Thailand), Trang (Thailand), Yala (Thailand), Yasothon (Thailand)",35,Pop density heads per Sqkm
2,"(1, 0, 0)","Jakarta Raya (Indonesia), Yogyakarta (Indonesia), Chachoengsao (Thailand), Kalasin (Thailand), Mukdahan (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Sawan (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Uthai Thani (Thailand)",10,Pop density heads per Sqkm
3,"(1, 0, 1)","Aceh (Indonesia), Bali (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Gorontalo (Indonesia), Jambi (Indonesia), Jawa Barat (Indonesia), Jawa Timur (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Tengah (Indonesia), Kalimantan Timur (Indonesia), Kepulauan Riau (Indonesia), Lampung (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Timur (Indonesia), Papua (Indonesia), Papua Barat (Indonesia), Riau (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sumatera Selatan (Indonesia), Sumatera Utara (Indonesia), Johor (Malaysia), Kedah (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Perak (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), ARMM (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Central Luzon (Philippines), Cordilera Administrative Region (Philippines), Soccsksargen (Philippines), Singapore (Singapore), Amnat Charoen (Thailand), Bangkok Metropolis (Thailand), Buri Ram (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chiang Mai (Thailand), Chon Buri (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Maha Sarakham (Thailand), Nakhon Phanom (Thailand), Narathiwat (Thailand), Nonthaburi (Thailand), Pathum Thani (Thailand), Phayao (Thailand), Phitsanulok (Thailand), Phrae (Thailand), Phuket (Thailand), Prachin Buri (Thailand), Ranong (Thailand), Rayong (Thailand), Roi Et (Thailand), Sakon Nakhon (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Saraburi (Thailand), Si Sa Ket (Thailand), Sing Buri (Thailand), Surin (Thailand), Udon Thani (Thailand)",72,Pop density heads per Sqkm
0,"(0, 0, 0)","Aceh (Indonesia), Gorontalo (Indonesia), Kalimantan Selatan (Indonesia), Kepulauan Riau (Indonesia), Riau (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sulawesi Utara (Indonesia), Sumatera Selatan (Indonesia), Caraga (Philippines), Central Visayas (Philippines), National Capital Region (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Chachoengsao (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chanthaburi (Thailand), Chiang Mai (Thailand), Chiang Rai (Thailand), Chon Buri (Thailand), Chumphon (Thailand), Kalasin (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Khon Kaen (Thailand), Krabi (Thailand), Lamphun (Thailand), Loei (Thailand), Lop Buri (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nakhon Ratchasima (Thailand), Nakhon Si Thammarat (Thailand), Nan (Thailand), Phatthalung (Thailand), Phayao (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phitsanulok (Thailand), Phrae (Thailand), Rayong (Thailand), Roi Et (Thailand), Satun (Thailand), Si Sa Ket (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Suphan Buri (Thailand), Trang (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Udon Thani (Thailand)",56,Cars
1,"(0, 0, 1)","Bali (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Jakarta Raya (Indonesia), Jambi (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Tengah (Indonesia), Kalimantan Timur (Indonesia), Lampung (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Barat (Indonesia), Nusa Tenggara Timur (Indonesia), Papua Barat (Indonesia), Sumatera Barat (Indonesia), Sumatera Utara (Indonesia), Yogyakarta (Indonesia), Johor (Malaysia), Kedah (Malaysia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Penang (Malaysia), Perak (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), ARMM (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Central Luzon (Philippines), Davao Region (Philippines), IIocos Region (Philippines), Mimaropa (Philippines), Soccsksargen (Philippines), Zamboanga Peninsula (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Buri Ram (Thailand), Lampang (Thailand), Nakhon Sawan (Thailand), Narathiwat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Pathum Thani (Thailand), Pattani (Thailand), Phangnga (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Phuket (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Ranong (Thailand), Ratchaburi (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Samut Songkhram (Thailand), Saraburi (Thailand), Sing Buri (Thailand), Surat Thani (Thailand), Surin (Thailand), Tak (Thailand), Uthai Thani (Thailand), Uttaradit (Thailand), Yala (Thailand), Yasothon (Thailand)",75,Cars
2,"(1, 0, 0)","Papua (Indonesia), Bicol Region (Philippines), Eastern Visayas (Philippines), Singapore (Singapore), Amnat Charoen (Thailand), Mae Hong Son (Thailand), Maha Sarakham (Thailand), Mukdahan (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand)",10,Cars
3,"(1, 0, 1)",Nonthaburi (Thailand),1,Cars
4,"(2, 0, 1)",Cordilera Administrative Region (Philippines),1,Cars
0,"(0, 0, 0)","Gorontalo (Indonesia), Jambi (Indonesia), Kalimantan Tengah (Indonesia), Maluku (Indonesia), Nusa Tenggara Timur (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Tengah (Indonesia), Sumatera Selatan (Indonesia), Johor (Malaysia), Kedah (Malaysia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Penang (Malaysia), Perak (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), ARMM (Philippines), Bicol Region (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Caraga (Philippines), Central Luzon (Philippines), Central Visayas (Philippines), Cordilera Administrative Region (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), IIocos Region (Philippines), Mimaropa (Philippines), North Mindanao (Philippines), Soccsksargen (Philippines), Western Visayas (Philippines), Zamboanga Peninsula (Philippines), Chachoengsao (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chanthaburi (Thailand), Chumphon (Thailand), Kalasin (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Khon Kaen (Thailand), Lampang (Thailand), Lamphun (Thailand), Loei (Thailand), Lop Buri (Thailand), Mae Hong Son (Thailand), Maha Sarakham (Thailand), Mukdahan (Thailand), Nakhon Nayok (Thailand), Nakhon Si Thammarat (Thailand), Nan (Thailand), Pattani (Thailand), Phayao (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phrae (Thailand), Ranong (Thailand), Ratchaburi (Thailand), Rayong (Thailand), Roi Et (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Samut Songkhram (Thailand), Saraburi (Thailand), Sing Buri (Thailand), Tak (Thailand), Trang (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Udon Thani (Thailand), Uthai Thani (Thailand), Uttaradit (Thailand), Yala (Thailand), Yasothon (Thailand)",82,Buses
1,"(0, 0, 1)","Aceh (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Jakarta Raya (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Timur (Indonesia), Kepulauan Riau (Indonesia), Lampung (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Barat (Indonesia), Papua (Indonesia), Papua Barat (Indonesia), Riau (Indonesia), Sulawesi Selatan (Indonesia), Sumatera Barat (Indonesia), Sumatera Utara (Indonesia), Yogyakarta (Indonesia), Chiang Mai (Thailand), Chon Buri (Thailand), Nakhon Sawan (Thailand), Narathiwat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Phangnga (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Prachuap Khiri Khan (Thailand)",31,Buses
2,"(1, 0, 0)","National Capital Region (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Buri Ram (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nakhon Ratchasima (Thailand), Nonthaburi (Thailand), Phatthalung (Thailand), Phitsanulok (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Suphan Buri (Thailand)",16,Buses
3,"(1, 0, 1)","Bali (Indonesia), Sulawesi Utara (Indonesia), Singapore (Singapore), Amnat Charoen (Thailand)",4,Buses
4,"(2, 0, 0)","Chiang Rai (Thailand), Phuket (Thailand), Surat Thani (Thailand), Surin (Thailand)",4,Buses
5,"(2, 0, 1)","Sulawesi Tenggara (Indonesia), Krabi (Thailand), Pathum Thani (Thailand), Prachin Buri (Thailand), Satun (Thailand), Si Sa Ket (Thailand)",6,Buses
0,"(0, 0, 0)","Aceh (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Gorontalo (Indonesia), Jakarta Raya (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kepulauan Riau (Indonesia), Lampung (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Nusa Tenggara Barat (Indonesia), Nusa Tenggara Timur (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Utara (Indonesia), Sumatera Selatan (Indonesia), Sumatera Utara (Indonesia), Cagayan Valley (Philippines), Calabarzon (Philippines), Central Visayas (Philippines), Eastern Visayas (Philippines), IIocos Region (Philippines), Mimaropa (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Buri Ram (Thailand), Chachoengsao (Thailand), Chai Nat (Thailand), Chaiyaphum (Thailand), Chanthaburi (Thailand), Chiang Rai (Thailand), Chon Buri (Thailand), Chumphon (Thailand), Kalasin (Thailand), Krabi (Thailand), Lampang (Thailand), Nakhon Si Thammarat (Thailand), Nan (Thailand), Phangnga (Thailand), Phatthalung (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phrae (Thailand), Phuket (Thailand), Ranong (Thailand), Ratchaburi (Thailand), Rayong (Thailand), Roi Et (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand), Samut Sakhon (Thailand), Satun (Thailand), Si Sa Ket (Thailand), Sing Buri (Thailand), Sukhothai (Thailand), Suphan Buri (Thailand), Surat Thani (Thailand), Surin (Thailand), Trang (Thailand), Uttaradit (Thailand)",65,Trucks
1,"(0, 0, 1)","Bali (Indonesia), Bengkulu (Indonesia), Jambi (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Tengah (Indonesia), Kalimantan Timur (Indonesia), Papua Barat (Indonesia), Riau (Indonesia), Sulawesi Selatan (Indonesia), Sulawesi Tenggara (Indonesia), Sumatera Barat (Indonesia), Yogyakarta (Indonesia), Johor (Malaysia), Kedah (Malaysia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Penang (Malaysia), Perak (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), ARMM (Philippines), National Capital Region (Philippines), Soccsksargen (Philippines), Zamboanga Peninsula (Philippines), Chiang Mai (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Khon Kaen (Thailand), Lamphun (Thailand), Loei (Thailand), Lop Buri (Thailand), Nakhon Nayok (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nakhon Ratchasima (Thailand), Narathiwat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Pathum Thani (Thailand), Phayao (Thailand), Phitsanulok (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Samut Prakan (Thailand), Samut Songkhram (Thailand), Saraburi (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Udon Thani (Thailand), Uthai Thani (Thailand)",59,Trucks
2,"(1, 0, 0)","Papua (Indonesia), Sulawesi Barat (Indonesia), Caraga (Philippines), Central Luzon (Philippines), Davao Region (Philippines), Singapore (Singapore), Amnat Charoen (Thailand), Pattani (Thailand), Songkhla (Thailand), Tak (Thailand)",10,Trucks
3,"(1, 0, 1)","Nakhon Sawan (Thailand), Nonthaburi (Thailand), Yala (Thailand), Yasothon (Thailand)",4,Trucks
4,"(2, 0, 1)","Bicol Region (Philippines), Cordilera Administrative Region (Philippines), Mae Hong Son (Thailand), Maha Sarakham (Thailand), Mukdahan (Thailand)",5,Trucks
0,"(0, 0, 0)","Aceh (Indonesia), Bangka Belitung (Indonesia), Jambi (Indonesia), Kalimantan Barat (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Timur (Indonesia), Kepulauan Riau (Indonesia), Nusa Tenggara Barat (Indonesia), Nusa Tenggara Timur (Indonesia), Papua Barat (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Tengah (Indonesia), Sumatera Barat (Indonesia), Yogyakarta (Indonesia), Johor (Malaysia), Kedah (Malaysia), Kelantan (Malaysia), Kuala Lumpur (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Pahang (Malaysia), Penang (Malaysia), Perak (Malaysia), Perlis (Malaysia), Putrajaya (Malaysia), Sabah (Malaysia), Sarawak (Malaysia), Selangor (Malaysia), Terengganu (Malaysia), ARMM (Philippines), Caraga (Philippines), Cordilera Administrative Region (Philippines), Eastern Visayas (Philippines), IIocos Region (Philippines), Mimaropa (Philippines), Zamboanga Peninsula (Philippines), Singapore (Singapore), Amnat Charoen (Thailand), Chanthaburi (Thailand), Chiang Mai (Thailand), Chiang Rai (Thailand), Lampang (Thailand), Lamphun (Thailand), Loei (Thailand), Nakhon Nayok (Thailand), Nakhon Si Thammarat (Thailand), Nan (Thailand), Phangnga (Thailand), Phayao (Thailand), Phetchabun (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phitsanulok (Thailand), Phrae (Thailand), Phuket (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Ranong (Thailand), Ratchaburi (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand), Samut Songkhram (Thailand), Sukhothai (Thailand), Suphan Buri (Thailand), Uttaradit (Thailand), Yala (Thailand), Yasothon (Thailand)",67,Motorcycles
1,"(0, 0, 1)","Bengkulu (Indonesia), Gorontalo (Indonesia), Jakarta Raya (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Tengah (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Riau (Indonesia), Sulawesi Tenggara (Indonesia), Sulawesi Utara (Indonesia), Sumatera Selatan (Indonesia), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Buri Ram (Thailand), Chon Buri (Thailand), Lop Buri (Thailand), Mae Hong Son (Thailand), Maha Sarakham (Thailand), Mukdahan (Thailand), Nonthaburi (Thailand), Pathum Thani (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Rayong (Thailand), Roi Et (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Sing Buri (Thailand), Tak (Thailand), Trat (Thailand), Ubon Ratchathani (Thailand), Udon Thani (Thailand)",34,Motorcycles
2,"(1, 0, 0)","Bali (Indonesia), Banten (Indonesia), Lampung (Indonesia), Papua (Indonesia), Sulawesi Selatan (Indonesia), Sumatera Utara (Indonesia), Central Luzon (Philippines), Central Visayas (Philippines), Chachoengsao (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nakhon Ratchasima (Thailand), Pattani (Thailand), Songkhla (Thailand), Trang (Thailand)",15,Motorcycles
3,"(1, 0, 1)",Saraburi (Thailand),1,Motorcycles
4,"(2, 0, 0)","Bicol Region (Philippines), Cagayan Valley (Philippines), Davao Region (Philippines), National Capital Region (Philippines), North Mindanao (Philippines), Soccsksargen (Philippines)",6,Motorcycles
5,"(2, 0, 1)","Calabarzon (Philippines), Western Visayas (Philippines), Chai Nat (Thailand), Chaiyaphum (Thailand), Chumphon (Thailand), Kalasin (Thailand), Kamphaeng Phet (Thailand), Kanchanaburi (Thailand), Khon Kaen (Thailand), Krabi (Thailand), Nakhon Sawan (Thailand), Narathiwat (Thailand), Nong Bua Lam Phu (Thailand), Nong Khai (Thailand), Phatthalung (Thailand), Satun (Thailand), Si Sa Ket (Thailand), Surat Thani (Thailand), Surin (Thailand), Uthai Thani (Thailand)",20,Motorcycles
0,"(0, 0, 0)","Aceh (Indonesia), Bali (Indonesia), Bangka Belitung (Indonesia), Banten (Indonesia), Bengkulu (Indonesia), Gorontalo (Indonesia), Kalimantan Timur (Indonesia), Kepulauan Riau (Indonesia), Lampung (Indonesia), Maluku (Indonesia), Maluku Utara (Indonesia), Papua Barat (Indonesia), Riau (Indonesia), Sulawesi Barat (Indonesia), Sulawesi Tengah (Indonesia), Sulawesi Tenggara (Indonesia), Sulawesi Utara (Indonesia), Sumatera Selatan (Indonesia), Yogyakarta (Indonesia), Kedah (Malaysia), Kelantan (Malaysia), Perlis (Malaysia), Sabah (Malaysia), ARMM (Philippines), Bicol Region (Philippines), Cagayan Valley (Philippines), Calabarzon (Philippines), Caraga (Philippines), Davao Region (Philippines), Eastern Visayas (Philippines), Mimaropa (Philippines), North Mindanao (Philippines), Western Visayas (Philippines), Zamboanga Peninsula (Philippines), Chumphon (Thailand), Krabi (Thailand), Nakhon Ratchasima (Thailand), Nakhon Si Thammarat (Thailand), Nonthaburi (Thailand), Phatthalung (Thailand), Ranong (Thailand), Udon Thani (Thailand)",42,Green_area
1,"(0, 0, 1)","Nusa Tenggara Timur (Indonesia), Pahang (Malaysia), Penang (Malaysia), Putrajaya (Malaysia), Selangor (Malaysia), Central Luzon (Philippines), Ang Thong (Thailand), Bangkok Metropolis (Thailand), Bueng Kan (Thailand), Chachoengsao (Thailand), Chiang Mai (Thailand), Kalasin (Thailand), Kanchanaburi (Thailand), Loei (Thailand), Mukdahan (Thailand), Nakhon Pathom (Thailand), Nakhon Phanom (Thailand), Nong Bua Lam Phu (Thailand), Pattani (Thailand), Phayao (Thailand), Phetchaburi (Thailand), Phichit (Thailand), Phra Nakhon Si Ayutthaya (Thailand), Phuket (Thailand), Rayong (Thailand), Sa Kaeo (Thailand), Sakon Nakhon (Thailand), Samut Prakan (Thailand), Samut Sakhon (Thailand), Samut Songkhram (Thailand), Si Sa Ket (Thailand), Sing Buri (Thailand), Songkhla (Thailand), Sukhothai (Thailand), Trat (Thailand), Yala (Thailand)",36,Green_area
2,"(1, 0, 0)","Jakarta Raya (Indonesia), Jambi (Indonesia), Jawa Barat (Indonesia), Jawa Tengah (Indonesia), Jawa Timur (Indonesia), Kalimantan Selatan (Indonesia), Kalimantan Tengah (Indonesia), Nusa Tenggara Barat (Indonesia), Papua (Indonesia), Sulawesi Selatan (Indonesia), Sumatera Barat (Indonesia), Sumatera Utara (Indonesia), Johor (Malaysia), Malacca (Malaysia), Negeri Sembilan (Malaysia), Perak (Malaysia), Sarawak (Malaysia), Terengganu (Malaysia), Central Visayas (Philippines), Cordilera Administrative Region (Philippines), IIocos Region (Philippines), National Capital Region (Philippines), Singapore (Singapore), Chai Nat (Thailand), Chaiyaphum (Thailand), Chanthaburi (Thailand), Chiang Rai (Thailand), Chon Buri (Thailand), Kamphaeng Phet (Thailand), Khon Kaen (Thailand), Lampang (Thailand), Lamphun (Thailand), Lop Buri (Thailand), Mae Hong Son (Thailand), Nakhon Nayok (Thailand), Nakhon Sawan (Thailand), Nan (Thailand), Narathiwat (Thailand), Nong Khai (Thailand), Pathum Thani (Thailand), Phangnga (Thailand), Phetchabun (Thailand), Phitsanulok (Thailand), Phrae (Thailand), Prachin Buri (Thailand), Prachuap Khiri Khan (Thailand), Ratchaburi (Thailand), Roi Et (Thailand), Saraburi (Thailand), Satun (Thailand), Suphan Buri (Thailand), Surat Thani (Thailand), Tak (Thailand), Trang (Thailand), Ubon Ratchathani (Thailand), Uthai Thani (Thailand), Uttaradit (Thailand), Yasothon (Thailand)",58,Green_area
3,"(1, 0, 1)","Kalimantan Barat (Indonesia), Kuala Lumpur (Malaysia), Amnat Charoen (Thailand), Buri Ram (Thailand), Maha Sarakham (Thailand), Surin (Thailand)",6,Green_area
4,"(2, 0, 0)",Soccsksargen (Philippines),1,Green_area